original,translation
Sweden–Norway,
Kelly Lake Metis Settlement Society,
"Korea, Republic of",
Náayerite (Cora),
Pima,
Rajput kingdoms,
Surasena,
Westo,
Chopcca,
Kamia,
Scythians,
Warriyangga,
Wixárika (Huichol),
Ulwas,
South Australia (UK),
Ishir Tomárãho,
Guta,
West Germany,
Atikum-Umã,
Karangura,
Toquaht,
Waveroo,
Futa Jalon,
Queets,
Saffarids,
Sahtu,
Monte Albán,
Mdewakanton,
Timurid Emirates,
Ashaninka,
Kediri,
"North American Pacifi foraging, hunting and fishing peoples",
Kankuamo,
Far Eastern SSR,
Sihapsa,
Pankararu,
Dutch Formosa,
Karuwali,
Cahitas,
Almohad Caliphate,
Lan Na,
Biri,
Uzbekistan,
Tuscarora,
Tonga,
Micqanaqa’n,
Modoc,
Other Rus Principalities,
Umbindhamu,
Botswana,بوتسوانا
Utapinõmakãphõná,
Resighini Rancheria (Yurok),
Nomatsigenga,
Congaree,
Ming Chinese Empire,
Ngambri,
minor states,
Ocloya,
Kurtjar,
Payómkawichum (Luiseño),
Western Mono/Monache,
Mixtec Empire,
Louisiana,
Ineseño,
Nestucca,
Uwottüja,
Eastern Roman Empire,
Aragón,
Nguri,
Maiawali,
Warraskoyack,
Futa Toro,
Duwamish,
Asturias,
Wirangu,
Ethiopia (Italy),
,
Wassoulou Empire,
Baradha,
Pamunkey,
Massawomeck,
Kapanawa,
Lingít Aaní (Tlingit),
England,
Nunggubuyu,
Panzaleo,
Mi'kma'ki,
Nüwüwü (Chemehuevi),
Bindjali,
Mazun,
Sugaree,
Rajputana,
Quechan (Kwatsáan),
Makkura,
Homo erectus,
Morocco,مراکش
sq̓əc̓iy̓aɁɬ təməxʷ (Katzie),
Huu-ay-aht,
Mayangna,
Flathead,
Miwkoʔ Waaliʔ,
Kaska Dena Kayeh,
Patawomeck,
Ngarabal,
Icelandic Commonwealth,
Beaker,
Papuan neolithic farmers,
Chad,چاد
Emirate of Sicily,
Paspahegh,
Brunswick,
Atakapa-Ishak,
Konbudj,
Ikpeng,
Nehalem,
Sweden,
Bokhara Khanate,
Netherlands Indies,
Liechtenstein,
Badimaya,
Gandhara grave culture,
Chepenefa,
Popti',
Tiahuanaco Empire,
Beylik of Aydin,
Guanahatabeyes,
Goghtn,
Ofaié,
Maya,
Swiss Confederation,
Orissa,
Dutchy of Benevento,
Thompson,
CochimÃ­,
Empire of Ghana,پادشاهی غنا
Sanapaná,
Lickanantay,
Kyivan Rus,
Chinchorro culture,
Kanem,
Yakama,
Muscat and Oman,
Nisenan,
Banggarla,
Saint Lucia,
Wyandot (Anderdon),
Aboriginal Tasmanians,
Czechs,
Ottawa (Oklahoma),
Ahé (Kawahib),
Pacamoro,
Viceroyalty of Brazil,
Sabines,
Mangala,
Islamic states,
Kanas,
Golconda,
Papua New Guinea,
Rattanakosin Kingdom,
Esketemculeucw (Esk'etemc),
Malaya,
Yup’ik/Cup’ik,
Nuxalk,
Woodland Cree,
Tuareg Nomadic Tribes,
Southern Cameroon,Southern Cameroon
Cherookee,
Heruli,
Banas,
Laotian states,
Naskapi Innu,
Beaver Lake Cree,
Umpila,
Semites,
Qin,
Maiou,
Bostos,
Heiltsuk,
Kusso,
Rankülche,
Mandes,
Kashaya,
Swift Creek Culture,
Narva,
Rumsen,
Wari’,
Dâw,
Wakuenai/Walimanai (Kuripako),
Nisqually,
Northern Paiute,
Kingdom of France,
Zacatecs,
Germany (USA),
Balhae,
Seljuk Empire,
Guarijío/Guarijó,
K’asho Got’ine,
Mattamuskeet,
Eritrea (Italy),
Yiiji,
Xhosa,
Muscat,
Chit-dee-ni (Chetco),
East Getaes,
Kitsumkalum,
Neusiok,
Poverty point culture,
Akaitcho,
Dimini,
Dardania,
Wessex,
León,
Zambia,زامبیا
Norsemen,
Jiwere,
Me-Wuk (Bay Miwok),
Ohlone,
Hindu Kingdoms,
Ruanruan,
Moratok,
Comanche,
Binbinga,
Zimbabwe,
Goryeo,
S’atsoyaha (Yuchi),
Cherokee,
Walbis Bay,
Boe,
Nejd,
Naquada I,
Coastal and Woodland Mesolithic Hunter-Foragers,
Parthia,
Wanano/Kotiria,
Pitjantjatjara,
Luxembourg,
Squaxin,
Yue,
Sakhalin (RU),
Gunbalang,
Guinea-Bissau,
Yinwum,
Suren Kingdom,
Ecuador,
Matses (Matis),
Nyasaland,
Western Australia (UK),
Israel,اسرائیل
Curonians,
Bandjigali,
Yamnaya culture,
Seminole Tribe of Florida (Brighton Reservation),
Guyana (Netherlands),
Skwxwú7mesh-ulh Temíx̱w (Squamish),
Mpalitjanh,
Tunxis,
Meherrin,
Teslin Tlingit Council (Yukon),
Djabwurung,
Bithynia,
Hammonassets,
Seminole Tribe of Florida (Big Cypress Reservation),
Paltas,
Pergamon,
Costanoan,
Cahto,
Namibia,نامیبیا
Esse ejja,
Caldwell,
A'i Cofán/Kofán,
Swinomish,
Kushan Empire,
Leks,
Bhutan,
Atakapa,
Kwarezm,
Badtjala,
Trucial Oman,
Caohuiltecs,
Cochimí,
Savanna hunter-gatherers,
WiYaPeMiAk (Weapemeoc-Yeopim),
Iowa,
Hopewell Culture,
Ngalea,
Britany,
Kullilla,
Multnomah,
Guamares,
Andoa,
Maoris,
Sakurabiat,
Mill Creek Culture,
Shigom,
Kadjerong,
Wetzlar,
Cheyenne-Arapaho (Oklahoma),
Portuguese Guinea,
Chamicuro,
Nunatsiavut,
Inikana/Kukama Kukamiria/Kokama,
Homalco,
Isle de Jean Charles Biloxi-Chitimacha-Choctaw,
Austrian Empire,
Burkina Faso,
Great Khanate,
Tillamook,
Opiscopank,
Yarluyandi,
S’ólh Téméxw (Stó:lō),
np̓əšqʷáw̓səxʷ (Wenatchi),
Derbent,
Malay,
Cochin China,
Barunggam,
Nentego (Nanticoke),
Wari,
Northern Yuki,
Kichwa Santarrosino,
Boihaenum,
Pancala,
Abitibiwinni Aki,
Apiaká,
Huarpe,
Zuni,
Boethuk,
Shellfish gatherers,
Tzjon Non/ Tzo'tyio (Amuzgo),
Shona,
Proto-Slavs,
Aruá,
Central African Republic,جمهوری آفریقای مرکزی
Lake Segozerskoye,
Gooniyandi,
Saipan,
Berber Tribes,
Union of South Africa,
Samish,
Rarámuri (Tarahumara-Guarijio),
Kecoughtan,
Kong Empire,
East Prussia,
Ottoman Sultanate,
Proto-Thai cultures,
Kwakwaka’wakw,
Awajún,
Brothertown,
Bodéwadmiakiwen (Potawatomi),
Afanasevo,
Mazahua,
Belgium,
Yuracaré,
Moses/Columbia,
Monacan,
Kievan Rus,
Lumnanas,
Nawu,
Burma,میانمار
United States Virgin Islands,
"Nahua ( Morelos, Puebla, Tlaxcala, Veracruz, Hidalgo, San Luis Potosi)",
Somvamsis,
Turcik tribes,
Dakeł Keyoh (ᑕᗸᒡ ᗲᘏᑋ),
Q'eqchi',
South Carolina,
Macuxi,
Bahmani Kingdom,
ditidaqiic̓aq disib̓aʔk (Ditidaht),
Cape Colony,
Polish–Lithuanian Commonwealth,
Wiyot,
Virgin Islands (UK),
Mopan,
Arikapú,
Krenyê,
Tocobaga,
Pawnee,
Selkirk,
Darkinung,
Pacaxes,
Spain,
Yawarawarka,
Yadhaigana,
Yahooskin,
Sturgeon Lake Cree,
Ava,
Tecuexe,
Sinhalese kingdom,
Chikashsha Yaki (Chickasaw),
Waípinõmakã (Bará),
Songhai,
Mughal Empire,
Zhou states,
Guarasugwe,
Wunumara,
Point Peninsula,
Jaburrara,
Namazga,
Mongols,
Steilacoom,
Moravians,
Subarctic forest hunter-gatherers,
Yindjibarndi,
Saudi Arabia,عربستان سعودی
Sauk and Meskwaki,
Quileute,
Martuthunira,
Nitaskinan (Atikamekw / Nehirowisi Aski),
Rama,
Tenimo,
Scots,
Umayyad Caliphate,
Halíti,
Chitimacha,
Bulgars,
Otoe-Missouri (Oklahoma),
Modoc (Oklahoma),
Koasati (Coushatta),
Thailand,تایلند
Lower Chinook,
Kalispel,
Sui Empire,
Miami,
Moregena,
Chola,
Mayi-Yapi,
Manchu Empire,
Dutch Guinea,
Iowa (Oklahoma),
Onʌyote'a•ka (Oneida),
Mordvinians,
Swaziland,
Worla,
Sardinia,
Sicily,
Bia Mbyá,
Astrakhan Khanate,
Austro-Hungarian Empire,
Spanish Morocco,
San Carlos Apache,
Tr’ondëk Hwëch’in,
Maratines,
Yorta Yorta,
Peru,
Akawaio/Akawayo,
Goa,
Kawahib (Tenharim),
Kaingang,
Jicarilla,
Hainan,
Aseniwuche Winewak (Rocky Mountain),
Trio/Wü tarëno,
British Raj,
Khoisan,
Anishinabewaki ᐊᓂᔑᓈᐯᐗᑭ,
Barna,
Nyangumarda,
Guamar / Pecchichitane,
Okhotsk culture,
Shogun Japan (Kamakura),
Yayoi,
Kushites,
Winik Atel (Tzeltal),
Georgian Kingdom,
Yolngu,
Australian aboriginal hunter-gatherers,
Laos,لائوس
Warray,
Amuwu,
Bardi,
Kurs,
Patwin,
Goths,
Quatsino,
Chelan,
Wadai,
Teslin Tlingit Council (BC),
Mehinako,
Guachichiles,
Liberia,لیبریا
Tibetans,
Osage (Oklahoma),
Confederated Villages of Lisjan,
Puerto Rico,
Bantou,
Mesoamerican city-states and chiefdoms,
oθaakiiwaki‧hina‧ki (Sauk),
Wichita,
Arakan,
Gayiri,
Kerma,
Inupiat,
Hatteras,
Yakina,
Mari,
Vatsa,
Julimes,
Seneca-Cayuga (Oklahoma),
Chiapaneco,
Tekohá (Ñandeva - Avá Guaraní),
U'wa,
Parthian Empire,
Lipan,
Berbers,
Pomerania,
Yagalingu,
Chafan,
Jawoyn,
Madi Madi,
Hän,
Azandes,
Kunjen,
Goreng,
Chen-La,
Ndongo,
Yine,
Tastil,
Ngalkbun,
Chavin,
Iraq,عراق
Djargurdwurung,
Burundi,
Switzerland,
Gungabula,
Araona,
Clatsop,
Wankarani,
Skaruhreh/Tuscarora (North Carolina),
Wappynger,
Nizam's Dominions,
Lombardy,
Koreans,
Gwa’Sala-‘Nakwaxda’xw,
city-states,
Nicarao/Nahoa,
Gros Ventre,
Ngadjuri,
Kazembe,
"Mandan, Hidatsa, and Arikara",
Shanenawa,
Saami,
Guinea-Bissau (Portugal),
Dutch East Indies,
Vice Royalty of New Spain,
Umatilla,
Kickapoo (Oklahoma),
White Mountain Apache,
Lahore,
A'uwe,
Geneva,
Northeastern Pomo,
Yamhill,
Huancas,
Nayarit,
Bidar,
Shawanaua,
Walmatjarri,
Saar Protectorate,
Andean hunter-gatherers,
Archaic Amerindian hunter-gatherers,
Gunindiri,
Bakanh,
Southern Paiute,
Shawandasse Tula (Shawanwaki/Shawnee),
Sarmates,
Snuneymuxw,
Purehno,
Kuuvuan KaNianiq,
Hoopa,
Ikitu,
Khanate of the Golden Horde,
Raška,
Petun,
Đại Việt,
Turan,
Emberá,
Luiseno,
Ambaló,
Pawnee (Oklahoma),
Thrace,
Irritilas,
Siam,
Konnaack,
Wateree,
Iron Age megalith cultures,
Schleswig,
Kaxarari,
Thuringia,
Somalia,سومالی
Mayi-Thakurti,
Seminole Tribe of Florida (Hollywood Reservation),
England and Ireland,
Castilla,
Hindu kingdoms and republics,
Tjupany,
Karkin,
Yangga,
Dutch Republic,جمهوری هلند
Jococobas,
Prot-Altaic pastoralists,
Yeke,
New Zealand,نیوزیلند
Roman Empire,امپراتوری روم
Ts'msyen La̱xyuup (Tsimshian),
Kaniyang,
Mudburra,
Narragansett,
Pocomoke,
Wichita-Caddo-Delaware (Oklahoma),
Snohomish,
Marubo,
Antakarinja,
Ceylon,
Luthigh,
Carthage,
Mauritania,موریتانی
Tonkin,
Ndee/Nnēē: (Western Apache),
Aceh,
Subtiaba,
Cow Creek Umpqua,
Gilbert and Elice Islands,
Yalarrnga,
Turrbal,
Nukini,
ᒋᑦ ᐊᔅᒋᓄᐤ St'aschinuw (Naskapi),
Aónikenk (Tehuelche),
Jumanos,
Pasto,
Paleo-Siberian hunter-gatherers,
Yoncalla,
Deg Xit'an Ngan' (Deg Xit'an),
New Amsterdam,
Chemapho,
Tsase/Piapoco,
Caliphate of Córdoba,
Cayubaba,
Atfalati,
Shawnee,
Saharan Pastoral Nomads,
Skykomish,
Fulani Empire,
Gwich'in Nành,
Wongaibon,
Principality of Polotsk,
Nabatean Kingdom,
Sura,
Rome (Galerius),
Aucocisco,
Carolingian Empire,
Algeria (FR),
central Asian khanates,
Makurap,
Imperial Japan,
Tututni,
Hunkpapa,
Timucua,
"ᏣᎳᎫᏪᏘᏱ Tsalaguwetiyi (Cherokee, East)",
Oghuz Turks,
Kamarupa,
Chaná,
Hia-Ced O'odham,
Tibetan Empire,
Wailaki,
Semiahmoo,
Michif Piyii (Métis),
Ainus,
Dadi Dadi,
Toba-Lengua,
Dyo'xaiya-o-Ivo'tsa (Okaina),
Maratha Confederacy,
Tagish,
Xiongnu,
Saint Kitts and Nevis,
Brunei,
Kashmir and Ladakh,
Yugoslavia,
Alamans,
Lenca,
Tjalkanti,
Newe (Western Shoshone),
La Almagra culture,
Khundzi,
Monte Alb�n,
Empire of Japan,
sdukʷalbixʷ (Snoqualmie),
Xinca,
Khanty,
Ijku (Arhuaco),
sc̓əwaθenaɁɬ təməxʷ (Tsawwassen),
Ute,
Mecklenburg-Schwerin,
Weenhayek/Wichí,
Pipa Aha Macav (Mojave),
Korea (USA),
Kingdom of Gala,
Beaver,
Nacotchtank (Anacostan),
Winebago,
Caxcan,
Ponca (Oklahoma),
Wiilman,
Gumbainggir,
Meroe,
Lombard duchies,
Comté de Toulouse,
Waiwai,
Thai Kingdoms,
Nahua (Guerrero),
Nukunu,
Wahpeton,
Enawenê-nawê,
Jupaú (Kawahib),
Malaysian Islamic states,
Chimacum,
Otavalo,
Venetia,
ChalAt’i’lo t’sikAti (Chalat’),
Maxakalí,
Lhaq’temish (Lummi),
Ngarigo,
Aymara,
Burgandy,
Thiin,
Chauhans,
Ecuana,
Göktürks,
Ghaznavid Emirate,
Gitx̱san Lax̱yip,
Togo,توگو
Kingdom of Kassander,
Urartu,
Hopie,
Caxcane,
Western Gangas,
Kaurna Pangkarra,
Yaros,
Sharanahua,
Durdzuks,
Kalaamaya,
Sami,
Anmatyerre,
Choctaw,
Cupeño,
Mahra,
Nogai Horde,
Goshute,
Illyrians,
Chalon,
Cantia,
Ostrogoths,
Tufan Empire,
Coca,
Lower Tohono O’odham (Lower Pima),
Hejaz,
Kaiabi,
Ktunaxa ɁamakɁis,
USSR,
Nkore,
Me-Wuk (Northern Sierra Miwok),
Mixtecs,
Mexihcah (Triple Alliance),
Nhanta,
Baure,
British Guiana,
Jingili,
Mississauga,
Kuwarra,
Idrisid Caliphate,
Bahawalpur,
Tapieté/Guaraní-Ñandeva,
Te’mexw Treaty Association,
Karanka,
Tahues,
Walangama,
ᓀᐦᐃᔭᐤ ᐊᐢᑭᕀ Nêhiyaw-Askiy (Plains Cree),
Wik,
Oohenumpa,
Zhow states,
Meru,
Rift Valley States,
Kandy,
Porter,
Eno,
Kuungkari,
Kl'bal Pom Wintu,
Na-cho Nyak Dun,
Dutch Brazil,
Banawá,
Denmark-Norway,
Nłeʔkepmx Tmíxʷ (Nlaka'pamux),
Mbeiwum,
Bosporan Kingdom,
Guam,
Waco,
Nasa,
Nyvukagmit (Naukan),
Tz'utujil,
Bantu,
Cahuilla,
Mozambique,
Mohican,
Kashtik,
Ngurraiillam,
Eastern Mono/Monache,
Muisca,
Kojomk'awi (Konkow),
Tuaregs,
Wangan,
Severians,
Malaysia,مالزی
Kawahib (Jiahui),
Maya Yucateco,
Kinja,
Cuman–Kipchak confederation,
Mexico,
Tashir,
Uru,
Guahibo/Hiwi,
Mbya,
Wounaan,
Oro Win/Oro Towati’,
Rajput Clans and Small States,
First Samori Empire,
Rome (Maximian),
Algeria,الجزایر
Enlhet-Enenlhet,
Huron,
Salmon River,
Congo (France),کنگوی فرانسه
Niger,نیجر
Mayi-Kulan,
Guugu-Yimidhirr,
Imerina,
Nom Sus Wintu,
Austronesians,
Odǫhwęja:deˀ (Cayuga),
Karelians,
Chicaksaw,
Chagatai Khanate,
Prussia,
Samanid Empire,
Wattasid Caliphate,
Me-Wuk (Coast Miwok),
Kitasoo/Xai'xais,
Ciguayo,
Apyãwa,
Boriken Taino,
Permians,
Nomlaki,
Toltec Empire,
"Gambia, The",
Puyanawa,
Yankontai,
Algonquin,
Pandyas,
Mexicanero (Nahuas),
Kanem-Bornu,
Patagonian shellfish and marine mammal hunters,
Eduria (Taiwano),
Banjima,
Toboso,
Western Chalukyas,
Gureng Gureng,
Killaka Asanajaqi,
Moqoit,
Mount Tabor Indian Community,
Chinese warlords,
Ramaytush,
Bremen,
Kamëntsá,
Finnmark,
Quw'utsun,
Polynesians,
Hadramaut,
Apalachees,
Bohanes,
Mahicacn,
Nemay,
Chim? Empire,
Nambikwara,
Nyamal,
Tonkawa,
Anguthimri,
Seminole Tribe of Florida (Immokalee Reservation),
"Korea, Democratic People's Republic of",
Pamlico (Pomouik),
Pisamira,
Murrinh-patha,
German South-West Africa,
Q'ero,
Washtáge Moⁿzháⁿ (Kaw / Kansa),
Seminole Tribe of Florida (Tampa Reservation),
Libya,لیبی
Riro,
Balts,
Werowocomoco,
Sivuqaq (St. Lawrence Island) Yupik,
Sinic,
Southern Xiongnu,
Yoreme (Mayo),
Susquehannock,
Gold Coast (GB),
Kubéwa/Cubeo,
Emirate of Tiflis,
Mongol Empire,امپراتوری مغول
Paugussett,
Mangarayi,
Xetá,
pʌʌsíʌhʌ (Andoque/Paasiaja),
Malyangaba,
Argentina,
Natabuela,
Gagudju,
Turkmenistan,ترکمنستان
Sisseton,
Pirlatapa,
Glades Culture,
Tampachoa (Mansos),
Bactria,
Odawa,
Kosala,
Kingdom of Brazil,
Coqs,
Matsigenka,
Plain-Pottery culture,
Gepids,
Eyak,
Saraguro,
Natchitoches,
Garífuna,
Somi Se'k (Esto’k Gna),
Tongva,
Karajarri,
Caucasian Alans,
Kingdom of Kashmir,
Takla,
Rashtrakuta,
Mohawk (Kalapuya),
Ethiopian HIghland Peoples,
Saxons,
Genoa,
Willapa,
Mánekenk/Haush,
Kichwa del Río Pastaza,
Moraughtacund,
Patamona/Ingarikó,
Andean states and chiefdoms,
Siuslaw,
Hoocąk (Ho-Chunk),
Sámi,
Kandozi,
Coast Salish,
Assiniboine,
Kanienʼkehá꞉ka (Mohawk),
Arosaguntacook,
Waldeck,
Wurundjeri,
O'odham Jeweḍ,
Kong,
Kamejeya (Yukuna),
Grand Duchy of Hesse,
Shipibo-Konibo,
Ngarinyin,
Lule,
Mogollon,
Schitsu’umsh (Coeur d’Alene),
Etrurians,
Segu,
Papou,
St̓át̓imc Tmicw (St'at'imc),
Gondwana,
Garingbal,
Arabian pastoral nomads,
Kisapincha,
Saint Martin,
Delaware,
Cuba,
Lunda,
Yugambeh,
Seljuk Caliphate,
French Cameroons,
Syria,سوریه
Lopburi Kingdom,
Muscogee (Oklahoma),
Saugeen Complex,
Pamaps cultures,
Gurjara Pratihara,
Ukraine,
Clackamas,
Guanches,
Syunik,
Croatia,
Wadigali,
Ilkhanate,
Hupd'äh,
Buyid Emirate,
Accomack,
Achuar,
Greek city-states,
Mbabaram,
Canichana,
Merinides,
Sixteen Kingdoms,
Berar,
Vice-Royalty of New Spain,
Yilba,
Awaswas,
Chim� Empire,
Late Jomon culture,
Mon state,
French Indo-China,
Shuar,
Mithaka,
Xia,
Tetlit Gwich’in,
Yemen (UK),
Massa-adchu-es-et (Massachusett),
Nauset,
Otomies,
Pijao,
East Francia,
Numidia,
Mauri,
Bïde,
Nazca,
Kurrama,
Dahomey,
Wadjigu,
Wašišiw Ɂítdeʔ (Washoe),
Austrian Netherlands,
Wayana,
Waxhaw,
Ixil,
Ãwa,
Kichwa del Río Napo,
Shasta,
Chorrera,
Chickahominy,
Terena,
Worimi,
Anhalt,
Nom Ti Pom Wintu,
Fivizzano,
Wadai Empire,
Parikwene,
Tolowa Dee-ni’,
Tse’khene,
Amboca,
Gold Coast,
Nan-Yue,
Chola state,
Pilagal'ek,
Guane,
Neolithic Farmers,
Buwayhid Emirates,
Bijapur,
Kunja,
Kenya,کنیا
Gunditjmara,
Hamburg,
Sikhs,
Mesoamerican hunter-gatherers and maïze farmers,
Kuyam,
Southern Pomo,
Pagan,
Nyanganyatjara,
Doeg,
Dau Pom Wintu,
Borgu States,
NunatuKavut,
Canaan,
Yuwi,
Kalinago,
Tekohá (Guarani),
Nunavik,
Ayahuacas,
Malta,
Mbukarla,
Chichas,
Tang Empire,
Fante,
Rwanda,
Comca’ac (Seri),
Montana,
Twana/Skokomish,
Kalina/Kariña,
Nanrantsouak,
Kureinji,
Bolivia,
Poqomam,
Russian Empire,
Rus' Khaganate,
Picts,
Milan,
Gitga’at,
Chumash,
Celltic Hallsatt culture,
Jamaica (UK),
Itazipco,
Tungusic Tribes,
Kwini,
Vice-Royalty of New Granada,
Guringai,
Imperial Japan (Fujiwara),
Lambakannas,
Tanana,
Tłı̨chǫ Ndè,
Oudh,
Trebizond,
Hungary,
Warwa,
Imperial Hungary,
Karapana/Muteamasa,
Konomihu,
Cyprus,قبرس
Pinjarup,
ƛaʔuukʷiʔatḥ (Tla-o-qui-aht),
Qatar,
Agwarmin,
Awaeté (Asurini of the Xingu),
Ngaanyatjarra,
Akatziri,
Tokugawa Shogunate,
Zenú,
Danggali,
Nonuya,
Transvaal,
Tagé Cho Hudän (Little Salmon/Carmacks),
Wapishana/Wapixana,
Vuntut Gwitchin,
El Salvador,
Amorúa,
Celtic kingdoms,
Guachichil,
Uganda,
Oirat Confederation,
Waccamaw (Woccon),
Tepehua,
Bayali,
Kichwa (Amazónico),
Tŝilhqot’in Nen,
Siria-masã (Siriano),
Antigua and Barbuda,
Ambur,
Henîa-Kamiare,
Dënéndeh,
Jordan,اردن
Ryazan,
Salinan,
Denendeh (Dënësųłinë́ Nëné),
Pataxó Hã-Hã-Hãe,
Pontremoli,
Missouri,
Chukchi,
Shoalwater Bay,
Malacca,
Matsés (Mayoruna),
Iran,ایران
Winefelly,
Mirambo Unyanyembe Ukimbu,
Winnimem Wintu,
Yinhawangka,
Ngatatjara,
Vijayanagara,
Xawiƚƚ kwñchawaay (Cocopah),
K'iche',
Griqualand West,
Greek colonies,
Muteamasa (Karapanã),
Swabia,
ɬaʔamɩn gɩǰɛ (Tla'amin/Sliammon),
French Guiana,
Northern Rhodesia,
Yamassee,
Wasco and Wishram,
Pocumtuk,
Me̱'pha̱a̱ (Tlapaneco),
Tübatulabal,
Tawahka,
Papuan,
Navajo,
Antarctica,
Alyawarre,
Chané,
Nahua,
Natchez,
NWT Métis Nation,
Chesapeake,
Jurruru,
Huaylas,
Wu,
Moldova,
Hohokam,
Potawatomi,
Paleo-Koreans,
Uutaalnganu,
Chowanoke,
Multan,
Oxus,
Chūzan,
Chickasaw (Oklahoma),
Mvskoke (Muscogee / Creek),
Xixia,
Jiwarli,
Kanara,
Saces,
Apsaalooké (Crow),
Eastern Shawnee (Oklahoma),
Winda Winda,
Khoiasan,
Kush,
Guiana,
Esselen,
Venezuela,
Latje Latje,
Hul Kuhk’u,
Martinique (France),
Mongolia,
Masachuset,
Occohannock,
Bukurnidja,
Arabana,
Abenaki / Abénaquis,
Worora,
Rhodesia,
Achagua,
Prussians,
Judea,
Jin,
Ballardong,
Pâri (Pawnee),
Northern Territory (UK),
Nimiipuu (Nez Perce),
Ottoman Empire,امپراتوری عثمانی
Sindh,
White Horde,
Peshemegs,
Acho Dene Koe,
Northmen,
Tasmanian hunter-gatherers,
Kimek–Kipchak khaganate,
Resígaro,
Yuin,
Central Pomo,
Latvia,
Canela Apanyekrá,
Vazimba,
Guyana,
Opobo,
Chibuleo,
Miskito,
Lemhi-Shoshone,
Charka,
Nungali,
Slavic tribes,
Tibet,
Albania,
Yavapaiv Apache,
Islamic and Hindu states,
Tsuu T'ina,
Oyo,
Atropatene,
Calicuas,
Panama,
Hopi,
Gitga’at Lax Yuup,
Maranunggu,
Catacomb culture,
Uspantec,
Shoa,
Kingdom of Sukhotai,
Payungu,
Gwitch'in Settlement Region,
Libya (IT),
Copena,
Surui Paiter,
Siletz,
Gunadule (Kuna-Tule),
Irritilas/Lagunero,
Fezzan (Frech Lybia),
Chile,
Shaskanka,
Siginygmit (Sireniki) Yupik,
Cuacasian Albania,
Ngi-iva (Popoloca),
Épera,
Taino,
Kallawaya,
Kalmar Union,
Rozwi,
Bidwell,
Koguryo,
Yuezhi,
Mara,
Arakan (Indian princely state),
Alans,
Principality of Kyiv,
Waujá,
Sokoto Caliphate,
Marringarr,
Iron Age chieftainships,
Poteskeet,
Nyaki-nyaki,
Wenrohronon,
Kawahsu,
Yir Yoront,
Milograd culture,
West Francia,
Guna of Wargandí,
Southeastern Pomo,
Darfur,
Pissaseck,
Han,
Maya city-states,
Amarak,
Garawa,
Chiricahua Apache,
Ikolen,
N. European Bronze Age cultures,
Kongldom of Hawaii,
Okanagan,
Nor Rel Muk Wintu,
Peramangk,
Sardinia-Piedmont,
Ngarrindjeri,
Manoki,
Adal,
Suquamish,
Ts’uubaa-asatx,
Vakataka,
Guató,
La Tène culture,
Nisg̱a'a,
Danube Bulgars,
Enxet,
Vedic Aryans,
səl̓ilwətaɁɬ təməxʷ (Tsleil-Waututh),
Ghassul,
Arctic marine mammal hunters,
Cowlitz,
Apinayé,
Coharie,
Movima,
Goodall Focus,
Chimariko (territory),
Barindji,
Srivijaya Empire,
Teton,
Kwikwetlem,
Cree,
Cuica,
Attiwonderonk (Neutral),
Coyutecos (Nahua),
Chapra,
Hupacasath,
Imbangala,
Wemba Wemba,
Rappahannock,
Sahtu Dene and Metis,
Hail,
Japan (Warring States),
Xecora,
Kent,
Deni,
Plateau fichers and hunter gatherers,
Narangga,
Milano (Austria),
Passamaquoddy,
Chalukya Empire,
Asheninka,
Ndebele,
Ñuu Savi (Mixtecapan),
Saura,
Rupert's Land,
El Pom Wintu,
Maan,
Yulparitja,
Iningai,
Arabia (Nejd),
Obispeño,
Kichwa Lamista,
Shita Got’ine,
Funnel-Beaker,
No'iria,
Haida Gwaii,
United Kingdom of Great Britain and Ireland,
Baltic Tribes,
Chaparra,
Portuguese East Africa,
Nyikina,
Ngarinman,
Kaqchikel,
Nahua (Michoacan),
Ngandi,
Electoral Hesse,
Satavahanihara,
Sultanate of Damagaram,
Ikoots/Kunajts/Ikoojts (Huave),
Zapotec,
Maya states,
Zapotec Empire,
Kingdom of Ireland,
Mali,مالی
Kukatj,
Scotland,
Arameans,
Nongatl,
Wôpanâak (Wampanoag),
Gabon,
Kuru,
Taku River Tlingit,
Acadian Peninsula (UK),
Arawaks,
Saint Vincent and the Grenadines,
Yoeme (Yaqui),
Golkonda,
Ka:’yu:’k’t’h’/Che:k’tles7et’h’,
Muskogee,
Gharra,
Skagit,
Burgunds,
Amazon hunter-gatherers,
Ainu,
Taungurung,
Serbia,
Peoria,
Mwenemutapa,
Mauryan Empire,
Dumonii,
Sudan,سودان
Shiwinna (Zuni),
Dominica,
Santiam,
Guaná,
Tupari,
Shawi,
Keyauwee,
Potawatomi-Shawnee (Oklahoma),
Cayenne,
Kiowa,
Andegerebenha,
Tukular Caliphate,
Ciboney,
Lheidli T'enneh,
Poquonook,
Tolupan,
Fiji,
Mokaná,
Africa,
Republic of the Seven Zenden,
Nganyaywana,
Yambina,
Mosquito Coast,
Chinantla (Tsa ju jmí’),
Bularnu,
Maijuna,
Iroquois,
Dhirari,
Quuiich (Lower Umpqua),
Rabih az-Zubayr,
Kawashkar,
Samoyèdes,
Sewee,
Assyria,
Tungus,
Karanki,
Secotan,
Chimú Empire,
Guachimis,
Magyars,
Kuruaya,
Kichwa,
Veracruz civilization,
Orange Free State,
Bejas,
Tripolitana (UK Lybia),
Luva,
